language,discipline,adjective,total_count,affect_count,judgement_count,appreciation_count,ambiguous_count,p_affect,p_judgement,p_appreciation,example_affect,example_judgement,example_appreciation,example_ambiguous
en,Art,last,27,0,0,0,27,0.0,0.0,0.0,,,,"So I love that last sentence : || And I sent out one last batch of postcards . || And I get the most amazing fan mail , and I get the most amazing projects , and the biggest moment for me came last Halloween . || The first is the fall of Granada , the last Muslim enclave in Europe . The second is Columbus finally gets funded to go to India , but he gets lost . || And the last point about the 99 Noor stones is this ."
en,Art,same,27,0,0,1,26,0.0,0.0,1.0,,,"Content is the same , but you feel differently .","These are clearly biblical archetypes , and the thinking behind that was to create positive , globally - resonating storylines that could be tied to the same things that other people were pulling mean messages out of because then the person that 's using religion for the wrong purpose just becomes a bad man with a bad message . || And by stopping them , he has more of a fascist agenda , where he gets some of The 99 to work for him -- they 're all wearing cookie - cutter , same color uniforms . || So these are our live subtitles , that are being produced by a computer that knows the text of "" The Ursonate "" -- fortunately Jaap does too , very well -- and it is delivering that text at the same time as Jaap is . || And at the same time , it attempts to engage in what you might call familiar psycho-social gaze behaviors . || Same thing : gave her a picture , she held it up to her forehead ."
en,Art,most,26,0,0,0,26,0.0,0.0,0.0,,,,"I realized that most people thought of homelessness as some kind of lazy , drug - induced squalor and inconvenience , but that did n't represent my book bag full of clothes and schoolbooks , or my A+ grade point average . || We build with Liz , who has been on the streets most of her teenage years but turns to music to return to herself when her traumas feel too heavy for her young shoulders . || It all has to do with that shell that most of us have , and particularly certain people . || Most people think that I was an actress . || Again , some of you will know him , most of you wo n't , Dumas Malone ."
en,Art,few,23,0,0,0,23,0.0,0.0,0.0,,,,"I would sit on my favorite bench downtown and watch as the hours passed by until I could sneak in a few hours of sleep on couches , in cars , in buildings or in storage units . || A few hours of singing , writing poetry or saving up enough money to disappear into another world at a play kept me going and jolting me back to life when I felt at my lowest . || I would go to church services on Wednesday evenings and , desperate for the relief the arts gave me , I would go a few hours early , slip downstairs and into a part of the world where the only thing that mattered was whether or not I could hit the right note in the song I was perfecting that week . || So these 99 stones , a few kind of rules in the game : || I got accused in a few blogs that I was actually sent by the Pope to preach the Trinity and Catholicism in the Middle East , so you believe who you want . I gave you my version of the story ."
en,Art,many,23,0,0,0,23,0.0,0.0,0.0,,,,"Writing is using your imagination on paper , and I do get so scared because I travel to so many schools now and that seems like such a foreign concept to kids , that writing would be using your imagination on paper , if they 're allowed to even write now within the school hours . || There was an egg , a tomato , a head of lettuce and a pumpkin , and they all lived in this refrigerator city , and in one of their adventures they went to a haunted house that was filled with so many dangers like an evil blender who tried to chop them up , an evil toaster who tried to kidnap the bread couple , and an evil microwave who tried to melt their friend who was a stick of butter . || I trained at Bellevue Hospital Survivors of Political Torture Program , and I heard one too many stories of people growing up to idolize their leadership , only to end up being tortured by their heroes . || And torture 's a terrible enough thing as it is , but when it 's done by your hero , that just breaks you in so many ways . || There are many kinds of interviews ."
en,Art,much,22,1,0,0,21,1.0,0.0,0.0,"I got my paints , and I was n't a landscape painter , but I was n't really much of any kind of painter at all , so I had no attachment , no expectation , which allowed me to be reckless and free .",,,"It gave me so much strength to give myself permission to just block it all out and sing . || And when your parent is a drug addict , it 's kind of like Charlie Brown trying to kick the football , because as much as you want to love on that person , as much as you want to receive love from that person , every time you open your heart , you end up on your back . || So I loved writing so much that I 'd come home from school , and I would take out pieces of paper , and I would staple them together , and I would fill those blank pages with words and pictures just because I loved using my imagination . || I ca n't believe how much it costs to go to the prom . || Dana : There 's too much darkness ."
en,Art,able,22,10,2,3,7,0.6667,0.1333,0.2,"We 've been able to license The 99 comic books into eight languages so far -- Chinese , Indonesian , Hindi , Urdu , Turkish . || It 's about mappings between different perceptual domains , like hardness , sharpness , brightness and darkness , and the phonemes that we 're able to speak with . || So , I was able to completely daydream my way through my life . || But I am able to make the transition from working for children and -- from working for adults to children , and back and forth , because , you know , I can say that I 'm immature , and in a way , that 's true . || And so , I was able to put that into this story , which is an alphabet , and hopefully go on to something else .","But it actually was n't until recently that we were able to expand our size range in a major way . || Through creativity and solidarity , Amber Hasan , Shea Cobb , Tuklor Senegal , The Sister Tour , myself , the people of Flint , Dexter Moon , Moses West and his atmospheric water generator have been able to provide 120,000 gallons of free , clean water .","Mujiba , from Malaysia : her main power is she 's able to answer any question . || If a computer speech recognition system is able to recognize what you 're saying , then it spells it out . || Leaders might be able to use these systems to better regulate how they work inside the heterarchy .","And I loved that thought , of being able to share my ideas through the printed page . || So the librarians find out and they get together a special solution , a chemical solution called King 's Water , that when mixed with 99 stones would be able to save all that culture and history in the books . || And it 's one of the most interesting technical challenges that 's very currently active in the computer sciences : being able to have a camera that can understand , from a fairly big distance away , how these little tiny balls are actually pointing in one way or another to reveal what you 're interested in , and where your attention is directed . || And some of the watches there , attempting to be beautiful and humorous -- maybe not attempting , hopefully succeeding . That to be able to talk about content , to break apart what you normally expect , to use humor and surprise , elegance and humanity in your work was really important to us . || For so long , the fashion industry has worked hard to set an ideal of beauty that celebrates thin , young , white , cisgender , able - bodied models as the ideal ."
en,Art,free,22,2,1,1,18,0.5,0.25,0.25,"The second you recognize it , feel free to stand . || And I can add in a blue gradient and a dove , and I have , like , Don Draper free .","It 's like , yes , I can be free .","Residents are free to walk up to the machine anywhere between 9 am and 8 pm daily and take as much as they want , alleviating them from standing in long lines for bottled water .","As an undergrad at Tufts University , we were giving away free falafel one day and , you know , it was Middle East Day or something . And people came up and picked up the culturally resonant image of the falafel , ate it and , you know , talked and left . || And no two people could disagree about what the word free was and what the word falafel was , behind us , "" free falafel . "" You know . || Nestle , the largest water - bottling company in the world , pumps 400 gallons of water per minute out of aquifers in Lake Michigan , nearly free of charge . || Bring relief of free , clean water to the people in Flint . Teach them how to use the machine , teach them how to take care of it , and most importantly , take ownership of the machine . || Through creativity and solidarity , Amber Hasan , Shea Cobb , Tuklor Senegal , The Sister Tour , myself , the people of Flint , Dexter Moon , Moses West and his atmospheric water generator have been able to provide 120,000 gallons of free , clean water ."
en,Art,amazing,21,0,3,3,15,0.0,0.5,0.5,,"It was amazing . || It 's , like , amazing , right ? || It 's just amazing , Fear .","But the biggest thing we 've done to date , which is just amazing , is that we 've done a 26 - episode animated series , which is done for global audiences : in fact , we 're already going to be in the U.S. and Turkey , we know . || But I picked it up and I started reading it and I thought , this book is amazing . || And I went to visit Louise Bourgeoise , who 's also still working , and I looked at her sink , which is really amazing , and left .","Mark Lynch , he 's an amazing teacher and he 's still a dear friend of mine , and I was 14 or 15 , and I walked into his comic book class halfway through the course , and I was so excited , I was beaming . || But it was around this time I went to Camp Sunshine to volunteer a week and working with the most amazing kids , kids with leukemia , and this kid Eric changed my life . || And I sent this book out to a dozen publishers and it was rejected every single time , but I was also involved with the Hole in the Wall Gang Camp , an amazing camp for kids with all sorts of critical illnesses , and it 's those kids at the camp that read my stories , and I read to them , and I saw that they responded to my work . || And I get the most amazing fan mail , and I get the most amazing projects , and the biggest moment for me came last Halloween . || The National Portrait Gallery is the place dedicated to presenting great American lives , amazing people ."
en,Art,whole,20,0,0,0,20,0.0,0.0,0.0,,,,"I , like thousands of other homeless youth , disappeared into the shadows of the city while the whole world kept spinning as if nothing at all had gone terribly wrong . || And so what I 'm going to do is , not so much give you the great hits of that program , as to give you this whole notion of how you encounter people in that kind of situation , what you try to find out about them , and when people deliver and when they do n't and why . || Now , these are arm wrestle questions , but I want to tell you about questions that are more related to empathy and that really , very often , are the questions that people have been waiting their whole lives to be asked . || He did a five - volume biography of Thomas Jefferson , spent virtually his whole life with Thomas Jefferson , and by the way , at one point I asked him , "" Would you like to have met him ? "" || And here is this man who had given his whole life to uncovering Jefferson and connecting with him , and he said , "" Well ... "" -- I 'm going to do a bad southern accent . Dumas Malone was from Mississippi originally ."
en,Bus,good,80,4,3,11,62,0.2222,0.1667,0.6111,"Mastery : the desire to get better and better at something that matters . || And I did n't like following instructions , I was no good at following instructions . || Neuroscientists tell me it has to do with how are brains are prewired . There 's a part of our brain that would like to know our mistakes and like to look at our weaknesses so we could do better . || Then we can see , we 've got teams that spend on themselves and these pro-social teams who we give money to make the team better .","Now choosing not to buy a jar of jam is probably good for us -- at least it 's good for our waistlines -- but it turns out that this choice overload problem affects us even in very consequential decisions . || They 're more likely to choose things that make them less satisfied , even when they do objectively better . || But when you give them 15 euro to spend on their teammates , they do so much better on their teams that you actually get a huge win on investing this kind of money .","And this was not good enough for him , and this question bedeviled him for years . || The quality of the tomato paste is much better ; the spice mix is far superior ; it adheres to the pasta in a much more pleasing way . || We have to be willing , as teachers and parents and entrepreneurs and scientists , we have to be willing to have proactive conversations about race with honesty and understanding and courage , not because it 's the right thing to do , but because it 's the smart thing to do , because our businesses and our products and our science , our research , all of that will be better with greater diversity . || As long as the task involved only mechanical skill bonuses worked as they would be expected : the higher the pay , the better the performance . || But if you want engagement , self - direction works better .","Now choosing not to buy a jar of jam is probably good for us -- at least it 's good for our waistlines -- but it turns out that this choice overload problem affects us even in very consequential decisions . || We choose not to choose , even when it goes against our best self - interests . || They 're more likely to delay choosing -- procrastinate even when it goes against their best self - interest . || Now in the financial savings world , I think one of the best examples that has recently come out on how to best manage the choice offerings has actually been something that David Laibson was heavily involved in designing , which was the program that they have at Harvard . || If I show you 600 magazines and I divide them up into 10 categories , versus I show you 400 magazines and divide them up into 20 categories , you believe that I have given you more choice and a better choosing experience if I gave you the 400 than if I gave you the 600 ."
en,Bus,more,65,2,0,0,63,1.0,0.0,0.0,I 'm even more of a fan of globalization . || What worries me more is a different nightmare scenario .,,,"Only about 12 percent of the decisions did they make an hour or more of their time . || They had 250 different kinds of mustards and vinegars and over 500 different kinds of fruits and vegetables and more than two dozen different kinds of bottled water -- and this was during a time when we actually used to drink tap water . || More people stopped when there were 24 , about 60 percent , than when there were six , about 40 percent . || And what we looked at was whether the number of fund offerings available in a retirement savings plan , the 401( k ) plan , does that affect people 's likelihood to save more for tomorrow . || And what we found was that , the more funds offered , indeed , there was less participation rate ."
en,Bus,different,57,1,4,4,48,0.1111,0.4444,0.4444,I guess my cancer different from your cancer .,"So let me take you back how it 's so incredibly different building Buzzcar than it was building Zipcar , because now every single thing we do has these two different bodies that I have to be thinking about : the owners who are going to provide the cars and the drivers who are going to rent them . || They dress differently , and they look different , and , really , I love these photos every time I look at them . || Maybe it 's different there for some reason . || Now , it 's no different than walking over acres of diamonds .","And the first thing I do is I ask the employees , "" Tell me how these choices are different from one another . || Now in medical science , we do n't want to know , necessarily , just how cancer works , we want to know how your cancer is different from my cancer . || Way too much money , I just ca n't even go there , with lawyers , trying to figure out how this is different , who 's responsible to whom , and the result was that we were able to provide owners protection for their own driving records and their own history . || Here 's an example of a vote that we took where the majority of people felt one way ... but when we weighed the views based on people 's merits , the answer was completely different .","They had 250 different kinds of mustards and vinegars and over 500 different kinds of fruits and vegetables and more than two dozen different kinds of bottled water -- and this was during a time when we actually used to drink tap water . || They had over 75 different kinds of olive oil , including those that were in a locked case that came from thousand - year - old olive trees . || They had 348 different kinds of jam . || We there put out six different flavors of jam or 24 different flavors of jam , and we looked at two things : || So in these plans , we had about 657 plans that ranged from offering people anywhere from two to 59 different fund offerings ."
en,Bus,right,49,3,0,1,45,0.75,0.0,0.25,"It took me a year and a half to get the insurance just right . || Rather than thinking , "" I 'm right , "" I started to ask myself , "" How do I know I 'm right ? """,,"They see their own opinions as just one of many and naturally start asking themselves , "" How do I know my opinion is right ? ""","All right , let me show you some more about this . || All right . || Now it turns out you 're right . || It 's right there for you to find . || It 's worth 1.5 trillion dollars every year , and that 's a vast amount of money , right ?"
en,Bus,other,46,0,0,0,46,0.0,0.0,0.0,,,,"One is called "" Jazz "" and the other one is called "" Swing . "" || The other half of the customers are going to go from low choice , four gearshifts , to 56 car colors , high choice . || I had a friend who worked at a pickle factory , and the cucumbers would come flying down this conveyer belt , and his job was to pick off the ones that did n't look so good and throw them in the bin labeled "" relish "" where they 'd be crushed and mixed with vinegar and used for other kinds of profit . || Here 's Mr. Clean looking amorously at all the other Procter &amp ; Gamble products , and Procter &amp ; Gamble , you know , the statistic always cited is that Wal - Mart is their largest customer , and it 's true , as one store , Wal - Mart buys 15 percent , thus 15 percent of Procter &amp ; Gamble 's business is with Wal - Mart , but their largest market segment is something that they call "" high frequency stores , "" which is all these tiny kiosks and the lady in the canoe and all these other businesses that exist in System D , the informal economy , and Procter &amp ; Gamble makes 20 percent of its money from that market segment , and it 's the only market segment that 's growing . || Secondly , from the Austrian anarchist philosopher Paul Feyerabend , facts are relative , and what is a massive right of self - reliance to a Nigerian businessperson is considered unauthorized and horrible to other people , and we have to recognize that there are differences in how people define things and what their facts are ."
en,Bus,new,44,0,0,0,44,0.0,0.0,0.0,,,,"You can buy New York Yankees caps in all sorts of unauthorized patterns . || I think I was supposed to talk about my new book , which is called "" Blink , "" and it 's about snap judgments and first impressions . || But I was thinking about this , and I realized that although my new book makes me happy , and I think would make my mother happy , it 's not really about happiness . || And he graduated with his doctorate from Harvard , and he set up a little consulting shop in White Plains , New York . || And Pepsi came to Howard and they said , "" You know , there 's this new thing called aspartame , and we would like to make Diet Pepsi ."
en,Bus,great,43,0,0,6,37,0.0,0.0,1.0,,,Is n't that great ? || Management is great . || Traditional notions of management are great if you want compliance . || That 's great . || And that 's been great .,"And third is , and I 'm taking this from the great American beat poet Allen Ginsberg , that alternate economies barter and different kinds of currency , alternate currencies are also very important , and he talked about buying what he needed just with his good looks . || So I decided instead , I would talk about someone who I think has done as much to make Americans happy as perhaps anyone over the last 20 years , a man who is a great personal hero of mine : someone by the name of Howard Moskowitz , who is most famous for reinventing spaghetti sauce . || Howard 's about this high , and he 's round , and he 's in his 60s , and he has big huge glasses and thinning gray hair , and he has a kind of wonderful exuberance and vitality , and he has a parrot , and he loves the opera , and he 's a great aficionado of medieval history . || What is the great revolution in science of the last 10 , 15 years ? || And for that , we owe him a great vote of thanks ."
en,Bus,many,40,0,0,1,39,0.0,0.0,1.0,,,That 's almost twice as many as we have today .,"Do you know how many choices you make in a typical day ? || Do you know how many choices you make in typical week ? || Each task was made up of many , many , many sub -choices of course . || Do you know how many choices make it into your nine minute category versus your one hour category ? || This is many years ago , back in the early 70s ."
en,Bus,first,32,0,0,0,32,0.0,0.0,0.0,,,,"So for my first question for you today : || The first : || And the first thing I do is I ask the employees , "" Tell me how these choices are different from one another . || Now in fact , you had objectively more information the first time around than the second time around , but I would venture to guess that you felt that it was more real the second time around . || And when I think about that , first of all I think that government is a social contract between the people and the government , and if the government is n't transparent , then the people are n't going to be transparent either , but also that we 're blaming the little guy who does n't pay his taxes , and we 're not recognizing that everyone 's fudging things all over the world , including some extremely respected businesses , and I 'll give you one example ."
en,Bus,same,31,0,0,2,29,0.0,0.0,1.0,,,"And Skipper says his answers were always the same : "" Yes . "" || And it 's great because if I do n't let Jim , and people like Jim , to express their points of view , our relationship would n't be the same .","It 's the same information . || It 's the same number of choices . || And in the same community , this is business synergy . || But governments hate the DIY economy , and that 's why -- I took this picture in 2007 , and this is the same market in 2009 -- and I think , when the organizers of this conference were talking about radical openness , they did n't mean that the streets should be open and the people should be gone . || And then eventually even Ragù hired Howard , and Howard did the exact same thing for Ragù that he did for Prego ."
en,Bus,own,30,0,0,0,30,0.0,0.0,0.0,,,,"Think about your own choices . || And a critically important step in understanding our own desires and tastes is to realize that we can not always explain what we want , deep down . || Zipcar buys cars and parks them throughout dense metropolitan areas for people to use , by the hour and by the day , instead of owning their own cars . || Buzzcar lets people rent out their own cars to their friends and neighbors . || He said , "" We have a community that owns its own company . """
en,Bus,little,28,0,1,0,27,0.0,1.0,0.0,,"Even if the Ocean Cleanup project , beach plastic recycling programs or any well - meaning ocean plastic company was a hundred percent successful , it would still be too little , too late .",,"We decided to do a little experiment , and we picked jam for our experiment . || We set up a little tasting booth right near the entrance of the store . || And during that session , we kept the session exactly the way it used to be , but we added one little thing . || The one little thing we added was we asked people to just think about all the positive things that would happen in your life if you saved more . || It turns out we can actually handle a lot more information than we think we can , we 've just got to take it a little easier ."
en,Bus,happy,28,10,3,3,12,0.625,0.1875,0.1875,"But I was thinking about this , and I realized that although my new book makes me happy , and I think would make my mother happy , it 's not really about happiness . || So I decided instead , I would talk about someone who I think has done as much to make Americans happy as perhaps anyone over the last 20 years , a man who is a great personal hero of mine : someone by the name of Howard Moskowitz , who is most famous for reinventing spaghetti sauce . || What Howard did is he fundamentally changed the way the food industry thinks about making you happy . || And everyone 's take - home lesson from that was that the way to make people happy is to give them something that is more expensive , something to aspire to . || Because we thought that what it took to make people happy was to provide them with the most culturally authentic tomato sauce , A . And B , we thought that if we gave them the culturally authentic tomato sauce , then they would embrace it .","Let 's have some people do what they usually do , spend money on themselves , and let 's make some people give money away , and measure their happiness and see if , in fact , they get happier . || It did n't make them less happy , it just did n't do much for them . || How happy did it make you ? ""","But I was thinking about this , and I realized that although my new book makes me happy , and I think would make my mother happy , it 's not really about happiness . || We thought maybe the reason money does n't make us happy is that we 're spending it on the wrong things ; in particular , we 're always spending it on ourselves . || People who spent money on others got happier ; people who spent it on themselves , nothing happened .","And I thought she 'd say , "" Oh , you know , up the lagoon somewhere , or maybe across Africa , "" but you 'll be happy to know she said it came from here , it comes from the North Sea . || Assumption number one in the food industry used to be that the way to find out what people want to eat , what will make people happy , is to ask them . || If I were to ask all of you to try and come up with a brand of coffee -- a type of coffee , a brew -- that made all of you happy , and then I asked you to rate that coffee , the average score in this room for coffee would be about 60 on a scale of 0 to 100 . || The difference between coffee at 60 and coffee at 78 is a difference between coffee that makes you wince , and coffee that makes you deliriously happy . || Here 's why I like this story , not so much for the happy ending , but it shows someone carefully choosing the right objective and then sticking to it year after year after year ."
en,Bus,last,28,0,0,0,28,0.0,0.0,0.0,,,,"So I decided instead , I would talk about someone who I think has done as much to make Americans happy as perhaps anyone over the last 20 years , a man who is a great personal hero of mine : someone by the name of Howard Moskowitz , who is most famous for reinventing spaghetti sauce . || What is the great revolution in science of the last 10 , 15 years ? || I 'll give you one last illustration of variability , and that is -- oh , I 'm sorry . || It just celebrated its seventh anniversary , and after seven years , last year it delivered 530 million dollars ' worth of sales to all those individuals who have been making those objects . || So I actually know a lot about building a peer platform now , and a Peers , Inc. company , because I 've spent the last two years doing that in Paris ."
en,Bus,high,27,0,1,1,25,0.0,0.5,0.5,,"Howard 's about this high , and he 's round , and he 's in his 60s , and he has big huge glasses and thinning gray hair , and he has a kind of wonderful exuberance and vitality , and he has a parrot , and he loves the opera , and he 's a great aficionado of medieval history .",Do you know why savings was so high ?,"So if you look at the extremes , those plans that offered you two funds , participation rates were around in the mid-70s -- still not as high as we want it to be . || So half of the customers are going to go from high choice , 56 car colors , to low choice , four gearshifts . || The other half of the customers are going to go from low choice , four gearshifts , to 56 car colors , high choice . || What you find is the people who go from high choice to low choice , they 're hitting that default button over and over and over again . || They go from low choice to high choice , they 're hanging in there ."
en,Bus,important,24,0,2,9,13,0.0,0.1818,0.8182,,"It is , in fact , enormously important . || It 's incredibly important right now .","And third is , and I 'm taking this from the great American beat poet Allen Ginsberg , that alternate economies barter and different kinds of currency , alternate currencies are also very important , and he talked about buying what he needed just with his good looks . || And this was even more important . || Now why is that important ? || Now , I also think that this is very important so that the next generation really understands that this progress will help them , because they 're expecting us to be great role models . || Let me tell you why this is so important .","They 're all important choices . "" || I think it 's really important to understand that something like this is totally open . || So it 's very important to them to track piracy exactly because of this , and the people who are buying , the pirates , are not their customers anyway , because their customers want the real deal . || And a critically important step in understanding our own desires and tastes is to realize that we can not always explain what we want , deep down . || Third thing that Howard did , and perhaps the most important , is Howard confronted the notion of the Platonic dish ."
en,Bus,social,22,0,0,0,22,0.0,0.0,0.0,,,,"And when I think about that , first of all I think that government is a social contract between the people and the government , and if the government is n't transparent , then the people are n't going to be transparent either , but also that we 're blaming the little guy who does n't pay his taxes , and we 're not recognizing that everyone 's fudging things all over the world , including some extremely respected businesses , and I 'll give you one example . || It delivers localization and customization , specialization , and all of this aspect about social networks and how companies are yearning and eager to get inside there ? || We 're even seeing it in cozy social democracies like Sweden , Finland and Germany . || As income inequality increases , social mobility decreases . || But it 's important to remember that before we learned how to share the fruits of the Industrial Revolution with the broad swathes of society , we had to go through two depressions , the Great Depression of the 1930s , the Long Depression of the 1870s , two world wars , communist revolutions in Russia and in China , and an era of tremendous social and political upheaval in the West ."
en,Bus,global,21,0,0,0,21,0.0,0.0,0.0,,,,"And this is a global business . || Big businesses have recognized this , and what 's fascinating about this slide , it 's not that the guys can carry boxes on their heads and run around without dropping them off . it 's that the Gala sausage roll is a product that 's made by a global company called UAC foods that 's active throughout Africa and the Middle East , but the Gala sausage roll is not sold in stores . || And so I just want to leave you there , and say that this economy is a tremendous force for global development and we need to think about it that way . || The rise of the new global super - rich || This shift is the most striking in the U.S. and in the U.K. , but it 's a global phenomenon ."
